545690.914,30.8309639,120.8325131,-0.00,-0.02,232.92,545690.914,232.91964,1.93238,1.43809,30.8309639,120.8325131,-2.771,-0.0006,-0.0165,0.0017,23,25,16,64
545691.014,30.8309639,120.8325131,-0.00,-0.02,232.90,545691.014,232.89521,1.92948,1.43028,30.8309639,120.8325131,-2.775,-0.0011,-0.0162,0.0020,23,25,16,6f
545691.114,30.8309639,120.8325131,-0.00,-0.02,232.87,545691.114,232.86987,1.92776,1.41645,30.8309639,120.8325131,-2.780,-0.0015,-0.0156,0.0023,23,25,16,67
545691.214,30.8309639,120.8325132,-0.00,-0.02,232.84,545691.214,232.84438,1.92406,1.39896,30.8309639,120.8325132,-2.784,-0.0017,-0.0151,0.0027,23,23,16,64
545691.314,30.8309639,120.8325132,-0.00,-0.01,232.82,545691.314,232.81852,1.92156,1.37760,30.8309639,120.8325132,-2.788,-0.0022,-0.0141,0.0026,23,24,16,65
545691.414,30.8309639,120.8325132,-0.00,-0.01,232.79,545691.414,232.79247,1.91861,1.35498,30.8309639,120.8325132,-2.792,-0.0026,-0.0133,0.0023,23,24,16,6c
545691.514,30.8309642,120.8325133,-0.02,-0.02,232.77,545691.514,232.76693,1.91711,1.33057,30.8309642,120.8325133,-2.796,-0.0202,-0.0236,0.0390,23,25,16,67
545691.614,30.8309646,120.8325133,-0.02,-0.02,232.74,545691.614,232.74123,1.91457,1.30782,30.8309646,120.8325133,-2.800,-0.0207,-0.0225,0.0389,23,26,16,6f
545691.714,30.8309650,120.8325134,-0.02,0.00,232.72,545691.714,232.71543,1.91347,1.28732,30.8309650,120.8325134,-2.804,-0.0168,0.0000,-0.0032,23,26,16,65
545691.814,30.8309653,120.8325135,-0.02,0.00,232.69,545691.814,232.69009,1.91319,1.26790,30.8309653,120.8325135,-2.808,-0.0177,0.0013,-0.0035,23,26,16,60
545691.914,30.8309656,120.8325136,-0.02,0.01,232.67,545691.914,232.66514,1.91467,1.25354,30.8309656,120.8325136,-2.812,-0.0225,0.0127,0.0048,23,26,16,4e
545692.014,30.8309658,120.8325136,-0.02,0.01,232.64,545692.014,232.64083,1.91572,1.24495,30.8309658,120.8325136,-2.816,-0.0235,0.0141,0.0048,23,26,16,48
545692.114,30.8309661,120.8325137,-0.02,0.02,232.62,545692.114,232.61623,1.91758,1.24110,30.8309661,120.8325137,-2.820,-0.0245,0.0156,0.0050,23,26,16,44
545692.214,30.8309663,120.8325137,-0.03,0.02,232.59,545692.214,232.59224,1.91782,1.24386,30.8309663,120.8325137,-2.825,-0.0254,0.0170,0.0051,23,26,16,47
545692.314,30.8309666,120.8325137,-0.03,0.02,232.57,545692.314,232.56740,1.91975,1.25228,30.8309666,120.8325137,-2.829,-0.0264,0.0184,0.0049,23,25,16,47
545692.414,30.8309668,120.8325138,-0.03,0.02,232.54,545692.414,232.54320,1.92036,1.26578,30.8309668,120.8325138,-2.833,-0.0272,0.0197,0.0050,23,25,16,4b
545692.514,30.8309672,120.8325139,-0.00,-0.00,232.52,545692.514,232.51901,1.92153,1.28400,30.8309672,120.8325139,-2.837,-0.0017,-0.0012,-0.0445,23,26,16,44
545692.614,30.8309675,120.8325140,-0.00,-0.00,232.49,545692.614,232.49406,1.92125,1.30481,30.8309675,120.8325140,-2.841,-0.0022,-0.0001,-0.0444,23,26,16,48
545692.714,30.8309679,120.8325142,0.00,0.00,232.47,545692.714,232.46902,1.92096,1.32516,30.8309679,120.8325142,-2.845,0.0002,0.0017,-0.0383,23,25,16,4b
545692.814,30.8309683,120.8325143,-0.00,0.00,232.44,545692.814,232.44395,1.92146,1.34707,30.8309683,120.8325143,-2.849,-0.0003,0.0027,-0.0383,23,25,16,6d
545692.914,30.8309685,120.8325144,-0.01,-0.01,232.42,545692.914,232.41890,1.92121,1.36819,30.8309685,120.8325144,-2.853,-0.0083,-0.0149,-0.0065,23,26,16,4a
545693.014,30.8309688,120.8325145,-0.01,-0.01,232.39,545693.014,232.39338,1.92104,1.38405,30.8309688,120.8325145,-2.857,-0.0084,-0.0142,-0.0069,23,26,16,44
545693.114,30.8309690,120.8325146,-0.01,-0.01,232.37,545693.114,232.36812,1.92096,1.39741,30.8309690,120.8325146,-2.862,-0.0088,-0.0137,-0.0070,23,26,16,4b
545693.214,30.8309692,120.8325146,-0.01,-0.01,232.34,545693.214,232.34222,1.92173,1.40475,30.8309692,120.8325146,-2.866,-0.0091,-0.0131,-0.0070,23,26,16,4b
545693.314,30.8309695,120.8325147,-0.01,-0.01,232.32,545693.314,232.31654,1.92324,1.40802,30.8309695,120.8325147,-2.870,-0.0094,-0.0126,-0.0068,23,26,16,4d
545693.414,30.8309697,120.8325148,-0.01,-0.01,232.29,545693.414,232.29084,1.92428,1.40665,30.8309697,120.8325148,-2.874,-0.0097,-0.0121,-0.0064,23,26,16,4d
545693.514,30.8309698,120.8325148,-0.02,0.00,232.27,545693.514,232.26501,1.92545,1.39959,30.8309698,120.8325148,-2.878,-0.0196,0.0040,-0.0115,23,26,16,60
545693.614,30.8309699,120.8325149,-0.02,0.00,232.24,545693.614,232.23934,1.92636,1.38766,30.8309699,120.8325149,-2.882,-0.0198,0.0048,-0.0112,23,26,16,6c
545693.714,30.8309700,120.8325149,0.01,0.01,232.21,545693.714,232.21412,1.92716,1.37332,30.8309700,120.8325149,-2.886,0.0071,0.0111,0.0250,23,27,16,65
545693.814,30.8309701,120.8325149,0.01,0.01,232.19,545693.814,232.18828,1.92807,1.35724,30.8309701,120.8325149,-2.890,0.0067,0.0122,0.0252,23,27,16,68
